filename	Name in catalogue	Original title	Transliterated title	Type	year	collector	place	performer	archive reference	original metadata	Number of voices	Performer gender or age	audio recording	additional remarks
Kmeln_162_Khtila mene maty	ОК-ВІ-12	Хтіла мене мати 	Khtila mene maty 	spring	1926	Гайдай Михайло	"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) "	Васькін Іван 	ІМФЕ, ф. 6-3, од. зб. 69, арк. 24-25 (12 зв.-13), № 34.	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 24-25 (12 зв.-13), № 34."	unison	man		
Kmeln_163_Danchyku	ОК-ВІ-13	Данчику 	Danchyku 	spring	1928	Харків Володимир	с. Борсуки Новоушицького р-ну Хмельницької обл. 	Ткачук Мефодій 	ІМФЕ, ф. 6-3, од. зб. 81, арк. 84-85, № 16.	"Зап. 1928 р. Харків В. Й. у с. Борсуки Новоушицького р-ну Хмельницької обл. від Ткачука Мефо-
дія. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 84-85, № 16."	unison	man		
Kmeln_164v_Des tut bula	ОК-ВІ-14	Дес тут була 	Des tut bula 	spring	1928	Харків Володимир	с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.).	-	ІМФЕ, ф.6-3, од.зб. 77, арк. 52 (42). Текст з с. Княгинин, арк. 177 (147). Чорнетка.	"Зап. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Дрозд Одарки 
Михайлівни. Нотація Єфремової Л. О. Вар. мел. зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жва-
нецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.). – ІМФЕ, 
ф.6-3, од.зб. 77, арк. 52 (42). Текст з с. Княгинин, арк. 177 (147). Чорнетка."	unison			
Kmeln_164_Des tut bula	ОК-ВІ-14	Дес тут була 	Des tut bula 	spring	1986	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	 Дрозд Одаркa Михайлівна 	Транскрибування Єфремової Л. О.	"Зап. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Дрозд Одарки 
Михайлівни. Нотація Єфремової Л. О. Вар. мел. зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жва-
нецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.). – ІМФЕ, 
ф.6-3, од.зб. 77, арк. 52 (42). Текст з с. Княгинин, арк. 177 (147). Чорнетка."	unison	woman		
Kmeln_165_Zaichyku, zaichyku	ОК-ВІ-18а	Заічику, заічику 	Zaichyku, zaichyku 	spring	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. "	три жінки	"ІМФЕ, ф. 14-5, од. зб. 441 (ІІ), арк. 215, 
пл. ф. 14-10, од. зб. 1396. Транскрибування Єфремової Л. О. "	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. від трьох жінок. – ІМФЕ, ф. 14-5, од. зб. 441 (ІІ), арк. 215, 
пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. "	unison	women		
Kmeln_166v_Zaichyku, zaichyku	ОК-ВІ-18а	Заічику, заічику 	Zaichyku, zaichyku 	spring	1918	Постоловський А.	с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.	від матері та тітки	ІМФЕ, ф. 6-4, од. зб. 119, арк. 145, № 95.	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Євгенії Васькіної, 14 р. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 7 (4), № 10. Вар. зап. 1918 р. По-
столовський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. від матері 
та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 145, № 95."	unison	women		
Kmeln_166_Zaichyku, zaichyku	ОК-ВІ-18а	Заічику, заічику 	Zaichyku, zaichyku 	spring	1926	Гайдай Михайло	"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) "	Васькіна Євгенія, 14 р. 	ІМФЕ, ф. 6-3, од. зб. 69, арк. 7 (4), № 10. 	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Євгенії Васькіної, 14 р. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 7 (4), № 10. Вар. зап. 1918 р. По-
столовський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. від матері 
та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 145, № 95."	unison	girl teenager 		
Kmeln_167_Khodyt zhuchka po zhuchyni	ОК-ВІ-25	Ходит жучка по жучині 	Khodyt zhuchka po zhuchyni 	spring	1983	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну 	Крещенко Олена Іванівна, 1928 р. н. 	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 5, пл. № 2. Транскрибування Єфремової Л. О.	"Зап. 1983 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну від Крещенко Олени Іванівни, 
1928 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 5, пл. № 2. Нотація Єфремової Л. О."	unison	woman		
Kmeln_168_Oi khodyt zhuk po zhucheni	ОК-ВІ-25	Оі ходит жук по жучені 	Oi khodyt zhuk po zhucheni 	spring	1926	Гайдай Михайло	"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) "	Васькіна Євгенія, 14 р. 	ІМФЕ, ф. 6-3, од. зб. 69, арк. 8 (4 зв.), № 11.	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Євгенії Васькіної, 14 р. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 8 (4 зв.), № 11."	unison	girl teenager 		
Kmeln_169_Hoi khodyv zhuk	ОК-ВІ-25	Гоі ходив жук 	Hoi khodyv zhuk 	spring	1928	Харків Володимир	"с. Демшин Китайгородського р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) "	Ольга Стебницька 	"ІМФЕ, ф. 6-3, од. зб. 81, арк. 207 
(242) – текст, арк. 208 (243)  – мел., № 81. Чорнетка. "	"Зап. 1928 р. Харків В. Й. у с. Демшин Китайгородського р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від Ольги Стебницької. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 207 
(242) – текст, арк. 208 (243)  – мел., № 81. Чорнетка. Ходять під підняті руки. Коли заспівав ""Ходит 
жучок"" зі збірника в мінорі, то мені сказали ""нє, се не так, як Великодниця"". (В. Х.)"	unison	woman		"Ходять під підняті руки. Коли заспівав ""Ходит 
жучок"" зі збірника в мінорі, то мені сказали ""нє, се не так, як Великодниця"". (В. Х.)"
Kmeln_170_Oi zhuk, zhuk	ОК-ВІ-25+ОК-ВТ-03	Оі жук, жук	Oi zhuk, zhuk	spring	1927	Харків Володимир	"с. Брага Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) "	дівчата	"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 3 (3 зв.), 
мел. – арк. 10 (6), № 13. Чорнетка; ф. 6, од. зб. 158, арк. 15 (текст), арк. 73 (мел.). "	"Зап. 1927-1928 рр. Харків В. Й. у с. Брага Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від дівчат. – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 3 (3 зв.), 
мел. – арк. 10 (6), № 13. Чорнетка; ф. 6, од. зб. 158, арк. 15 (текст), арк. 73 (мел.). Текст записано 
не зовсім, здається, докладно. Мелодія відповідає тільки 1-й строфі. (Прим. зап.)"	unison	young women	"Текст записано 
не зовсім, здається, докладно. Мелодія відповідає тільки 1-й строфі. (Прим. Зап.)"	
Kmeln_171_Khodzhu, bludzhu	ОК-ВІ-26а	Ходжу, блуджу	Khodzhu, bludzhu	spring	1963	Експедиція ІМФЕ, керівник Ященко Леопольд	"c. Маків Дунаєвецького р-ну Хмельницької обл. 
"	гурт дівчат 	"ІМФЕ, ф. 14-5, од. зб. 380, арк. 
58-60, № 28; пл. ф. 14-10, од. зб. 985-987. "	"Зап. 30.06 1963 р. експ. ІМФЕ, нач. Ященко Л. І. у c. Маків Дунаєвецького р-ну Хмельницької обл. 
від гурту дівчат з тваринницької ферми спецгоспу ""Україна"". – ІМФЕ, ф. 14-5, од. зб. 380, арк. 
58-60, № 28; пл. ф. 14-10, од. зб. 985-987. "	2 voices	group of young women	пл. ф. 14-10, од. зб. 985-987	"гурту дівчат з тваринницької ферми спецгоспу ""Україна"""
Kmeln_172_Chom ty, haiu, smuten khodysh	ОК-ВІ-29	Чом ти, гаіу, смутен ходиш	Chom ty, haiu, smuten khodysh	spring	1928	Харків Володимир	с. Бабшин Кам’янець-Подільського р-ну Хмельницької обл. 	Іллєва Ганна,  19 р. 	ІМФЕ, ф. 6-4, од. зб. 158, арк. 1 (текст), арк. 73 (мел.).	"Зап. 1928 р. Харків В. Й. у с. Бабшин Кам’янець-Подільського р-ну Хмельницької обл. від Іллєвої 
Ганни,  19 р. – ІМФЕ, ф. 6-4, од. зб. 158, арк. 1 (текст), арк. 73 (мел.)."	unison	young woman		
Kmeln_173_Shcho zh ya sobi narobyla	ОК-ВІ-28	Шчо ж иа собі наробила	Shcho zh ya sobi narobyla	spring	1918	Постоловський А.	"с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
"	мати та тітка 	ІМФЕ, ф. 6-4, од. зб. 119, арк. 144, № 94.	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 144, № 94."	heterophony	women		
Kmeln_174_Oi pidu zh bo ya	ОК-ВІ-33	Оі піду ж бо иа	Oi pidu zh bo ya	spring	1926	Гайдай Михайло	"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) "	Ксенія Федорук, 26 р. 	ІМФЕ, ф. 6-3, од. зб. 69, арк. 5 (3), № 7.	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Ксенії Федорук, 26 р. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 5 (3), № 7."	heterophony	woman		
Kmeln_175_Sam khodzhu, sam	ОК-ВІ-30	Сам ходжу, сам	Sam khodzhu, sam	spring	1927	Харків Володимир	"с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну)."	-	ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 145 (120), мел. – арк. 146 (121),  № 71.	"Зап. 1927 р. Харків В. Й. у с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 145 (120), мел. – арк. 146 (121),  № 71."	unison			
Kmeln_176_Oi khodyla	ОК-ВІ	Оі ходила	Oi khodyla	spring	1978	Зеленчук В. І.	"с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
"	 Мельник Ольга Тимофіївна, 1904 р. н. 	"ІМФЕ, ф. 14-3, од. зб. 973, арк. 195-196 (текст), арк. 
261 (мел.), № 139. Транскрибування Мишанича М. В. "	"Зап. у липні 1978 р. Зеленчук В. І. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мельник Ольги Тимофіївни, 1904 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 195-196 (текст), арк. 
261 (мел.), № 139. Нотація Мишанича М. В. "	heterophony	woman		
Kmeln_177_Zanadyvsia zhuravel	ОК-ВІ-38	Занадивсіа журавел	Zanadyvsia zhuravel	spring	1963	Експедиція ІМФЕ, керівник Ященко Леопольд	с. Блищанівка Дунаєвецького р-ну 	"
жіночий гурт "	ІМФЕ, ф. 14-5, од. зб. 380, арк. 13-14, пл. ф. 14-10, од. зб. 985-987. 	"Зап. 27.06-10.07.1963 р. експ. ІМФЕ, нач. Ященко Л. І. у с. Блищанівка Дунаєвецького р-ну від 
жіночого гурту. – ІМФЕ, ф. 14-5, од. зб. 380, арк. 13-14, пл. ф. 14-10, од. зб. 985-987. "	3 voices	group of women	пл. ф. 14-10, од. зб. 985-987	
Kmeln_178_Idy, didu, husiata pasty	ОК-ВІ-35	Іди, діду, гусіата пасти	Idy, didu, husiata pasty	spring	1963	Експедиція ІМФЕ, керівник Ященко Леопольд	с. Блищанівка Дунаєвецького р-ну 	"
жіночий гурт "	ІМФЕ, ф. 14-5, од. зб. 380, арк. 31-32, № 14, пл. ф. 14-10, од. зб. 985-987. 	"Зап. 27.06-10.07.1963 р. експ. ІМФЕ, нач. Ященко Л. І. у с. Блищанівка Дунаєвецького р-ну від 
жіночого гурту. – ІМФЕ, ф. 14-5, од. зб. 380, арк. 31-32, № 14; пл. ф. 14-10, од. зб. 985-987. "	unison	group of women	пл. ф. 14-10, од. зб. 985-987	
Kmeln_179_Tuman tanets vyvode	ОК-ВТ-01	Туман танец виводе	Tuman tanets vyvode	spring	1928	Харків Володимир	с. Демшин Кам’янець-Подільського р-ну Хмельницької обл. 	Стебницька О. 	"ІМФЕ, ф. 6-3, од. зб. 81, арк. 205-266 № 80. В Демшині гаївки водяться іще й досі на 
горбі над річкою в першу постову неділю. (Прим. зап.)"	"Зап. 1928 р. Харків В. Й. у с. Демшин Кам’янець-Подільського р-ну Хмельницької обл. від Стеб-
ницької О. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 205-266 № 80. В Демшині гаївки водяться іще й досі на 
горбі над річкою в першу постову неділю. (Прим. зап.)"	2 voices	woman		" В Демшині гаївки водяться іще й досі на 
горбі над річкою в першу постову неділю. (Прим. Зап.)"
Kmeln_180v_Oi vyitesia, ohyrochky	ОК-ВТ-02	Оі вїтесіа, огирочки	Oi vyitesia, ohyrochky	spring	-	-	-	-	ІМФЕ, Вар. Нотації – ф. 6, од. зб. 158, арк. 70.	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, арк. 29 (20). Чорнетка. Вар. нота-
ції – ф. 6, од. зб. 158, арк. 70."	unison			
Kmeln_180_Oi vyitesia, ohyrochky	ОК-ВТ-02	Оі вїтесіа, огирочки	Oi vyitesia, ohyrochky	spring	1927	Харків Володимир	"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). "	-	ІМФЕ, ф.6-3, од.зб. 77, арк. 29 (20). 	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, арк. 29 (20). Чорнетка. Вар. нота-
ції – ф. 6, од. зб. 158, арк. 70."	unison			
Kmeln_181_Zeleniiut oherochky	ОК-ВТ-02	Зеленііут огерочки	Zeleniiut oherochky	spring	2013	Маховська С.	с. Мушкутинці Дунаєвецького р-ну Хмельницької обл. 	" 
Ярмолюк Ганна Ананьєвна, 1929 р.н. (народ. у с. Антонівка Дунаєвецького р-ну, у с. Мушкутинці 
з 1969 р.) "	Транскрибування та ред. тексту Єфремової Л. О., № 2.	"Зап. 25 червня 2013 р. Маховська С. у с. Мушкутинці Дунаєвецького р-ну Хмельницької обл. від 
Ярмолюк Ганни Ананьєвни, 1929 р.н. (народ. у с. Антонівка Дунаєвецького р-ну, у с. Мушкутинці 
з 1969 р.) Нотація та ред. тексту Єфремової Л. О., № 2."	unison	woman		"Співачка народилася у с. Антонівка Дунаєвецького р-ну, у с. Мушкутинці 
з 1969 р. "
Kmeln_182_A Odarka rybu lovyt	ОК-ВТ-03	А Одарка рибу ловит	A Odarka rybu lovyt	spring	1963	Експедиція ІМФЕ, керівник Ященко Леопольд	"c. Маків Дунаєвецького р-ну Хмельницької обл. 
"	гурт дівчат 	"ІМФЕ, ф. 14-5, од. зб. 380, арк. 63-
64, № 30; пл. ф. 14-10, од. зб. 985-987. "	"Зап. 30.06 1963 р. експ. ІМФЕ, нач. Ященко Л. І. у c. Маків Дунаєвецького р-ну Хмельницької обл. 
від гурту дівчат з тваринницької ферми спецгоспу ""Україна"". – ІМФЕ, ф. 14-5, од. зб. 380, арк. 63-
64, № 30; пл. ф. 14-10, од. зб. 985-987. "	unison	group of young women		"гурт дівчат з тваринницької ферми спецгоспу ""Україна"""
Kmeln_183_Shum, Shum ta y po dibrovi	ОК-ВТ-03	Шум, Шум та и по діброві	Shum, Shum ta y po dibrovi	spring	1988	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	 Цісарук Оксана Устимівна, 1910 р. н. 	"ІМФЕ, ф. 14-3, од. зб. 1195, арк. 228-229 (6), пл. № 2. Транскрибування 
Єфремової Л. О."	"Зап. 1988 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від Ціса-
рук Оксани Устимівни, 1910 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 228-229 (6), пл. № 2. Нотація 
Єфремової Л. О."	unison		пл. № 2	
Kmeln_184_Kryvoho tantsiu ydemo	ОК-ВТ-07	Кривого танціу идемо	Kryvoho tantsiu ydemo	spring	1927	Харків Володимир	"с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’я-
нець-Подільського р-ну Хмельницької обл.) "	школяри 	"ІМФЕ, ф. 6-3, од.зб. 77, арк. 167 (140),  
№ 87 (мел.); ф. 6, од. зб. 158, арк. 50, № 87 (текст)."	"Зап. 1927-1928 рр. Харків В. Й. у с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’я-
нець-Подільського р-ну Хмельницької обл.) від школярів. – ІМФЕ, ф. 6-3, од.зб. 77, арк. 167 (140),  
№ 87 (мел.); ф. 6, од. зб. 158, арк. 50, № 87 (текст)."	heterophony	school-age children 		
Kmeln_185v_Oi kryvoho tantsia	ОК-ВТ-07	Оі кривого танціа	Oi kryvoho tantsia	spring	-	Садківський Федір	"с. Микитинці, 1 верста від Михалполя Літичівського пов. (нині Ярмолинецького р-ну 
Хмельницької обл.)."	-	ІМФЕ, ф. 6-5, од. зб. 203/9, арк. 1, № 2.	"Зап. 1.06.1926 р. Садківський Федір у с. Михалпіль Літичівського пов. (нині с. Михайлівка Ярмо-
линецького р-ну Хмельницької обл.). – ІМФЕ, ф. 6-5, од. зб. 203/9, арк. 1, № 1. Вар. зап. Садків-
ський Ф. у с. Микитинці, 1 верста від Михалполя Літичівського пов. (нині Ярмолинецького р-ну 
Хмельницької обл.). – ІМФЕ, ф. 6-5, од. зб. 203/9, арк. 1, № 2."	unison			
Kmeln_185_Oi kryvoho tantsia	ОК-ВТ-07	Оі кривого танціа	Oi kryvoho tantsia	spring	1926	Садківський Федір	"с. Михалпіль Літичівського пов. (нині с. Михайлівка Ярмо-
линецького р-ну Хмельницької обл.)."	-	ІМФЕ, ф. 6-5, од. зб. 203/9, арк. 1, № 1.	"Зап. 1.06.1926 р. Садківський Федір у с. Михалпіль Літичівського пов. (нині с. Михайлівка Ярмо-
линецького р-ну Хмельницької обл.). – ІМФЕ, ф. 6-5, од. зб. 203/9, арк. 1, № 1. Вар. зап. Садків-
ський Ф. у с. Микитинці, 1 верста від Михалполя Літичівського пов. (нині Ярмолинецького р-ну 
Хмельницької обл.). – ІМФЕ, ф. 6-5, од. зб. 203/9, арк. 1, № 2."	unison			
Kmeln_186_My kryvoho tantsiu ydemo	ОК-ВТ-07	Ми кривого танціу идемо	My kryvoho tantsiu ydemo	spring	1973	Нагорний Л. С.	с. Баламутівка Ярмолинецького р-ну Хмельницької обл. 	Шаблевська Катерина Бартківна	-	"Зап. у квітні 1973 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. від 
Шаблевської Катерини Бартківни."	unison	woman		
Kmeln_187_My kryvoho tantsiu ydemo	ОК-ВТ-07	Ми кривого танціу идемо	My kryvoho tantsiu ydemo	spring	1978	Мишанич Михайло	"с. Студениця Кам’янець-Подільського р-ну Хмельницької 
обл. "	Буймистер Параска Василівна, 1888 р. н. 	"ІМФЕ, ф. 14-3, од. зб. 973, арк. 170 (текст), 
арк. 255 (мел.), № 120."	"Зап. 19 липня 1978 р. Мишанич М. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької 
обл. від Буймистер Параски Василівни, 1888 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 170 (текст), 
арк. 255 (мел.), № 120."	unison	woman		
