Filename	Name in catalogue	Original title	Transliterated title	Type	Subtype	Subsubtype	Year	Collector	Performer	Number of voices	Performer gender or age	Audio recording	Archive reference	Additional remarks	Place	Contemporary_address	Latitude	Longitude	Address translated	Original metadata
Kmeln_ballads_453_Oi vizmu ya	04-БК-07	Ой візьму я	Oi vizmu ya	Non-ritual	Ballad	БК	1918	Постоловський А.	-	unison			ІМФЕ, ф. 6-4, од. зб. 119, арк. 26, № 14.		с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 26, № 14."
Kmeln_ballads_454_Oi vidchyny	04-БК-07	Ой відчини	Oi vidchyny	Non-ritual	Ballad	БК	1928	Василів І.	Востафієв Іван	unison	man		ІМФЕ, ф. 6-4, од. зб. 108, арк. 8-9, № 20.		с. Мала Кужелівка Дунаєвецького р-ну Хмельницької обл.	с. Мала Кужелівка Дунаєвецького р-ну Хмельницької обл.	48.91910559999999	27.0497948	Mala Kuzhelivka, Khmelnytskyi Oblast, Ukraine, 32437	"Зап. 1911-1928 рр. Василів І. у с. Мала Кужелівка Дунаєвецького р-ну Хмельницької обл. від Івана 
Востафієва. – ІМФЕ, ф. 6-4, од. зб. 108, арк. 8-9, № 20."
Kmeln_ballads_455_Oi orav ya	04-БК-07	Ой орав я	Oi orav ya	Non-ritual	Ballad	БК	1928	Харків Володимир	Довгешко Їринa	unison	woman		"ІМФЕ, ф. 6-3, од. зб. 81, арк. 91 (106) (текст), 
арк. 92 (107) (мел.) № 20. Чернетка."		"с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.)"	с. Борсуки Новоушицького р-ну Хмельницької обл.	48.7148106	27.1714658	Borsuky, Khmelnytskyi Oblast, Ukraine, 32642	"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Довгешко Їрини. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 91 (106) (текст), 
арк. 92 (107) (мел.) № 20. Чернетка."
Kmeln_ballads_456_Orav zhe ya	04-БК-07	Орав же я	Orav zhe ya	Non-ritual	Ballad	БК	1928	Харків Володимир	Смішок Сяня 	unison			"ІМФЕ, ф. 6-3, од. зб. 81, арк. 93 (108) (текст), арк. 
94 (109) (мел.) № 20а. Чeрнетка."		"с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.)"	с. Борсуки Новоушицького р-ну Хмельницької обл.	48.7148106	27.1714658	Borsuky, Khmelnytskyi Oblast, Ukraine, 32642	"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Сяні Смішок. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 93 (108) (текст), арк. 
94 (109) (мел.) № 20а. Чeрнетка."
Kmeln_ballads_457_Oi horav ya	04-БК-07	Ой горав я	Oi horav ya	Non-ritual	Ballad	БК	1978	Мишанич Михайло	"Буймистер 
Параска Василівна, 1888 р. н."	heterophony	woman		ІМФЕ, ф. 14-3, од. зб. 973, арк. 174 (текст), арк. 256 (мел.), № 123.		с. Студениця Кам’янець-Подільського р-ну	с. Студениця Кам’янець-Подільського р-ну	48.58	26.915556	Studenytsya, Ukraine (has been flooded, does not exist anymore)	"Зап. 19 липня 1978 р. Мишанич М. В. у с. Студениця Кам’янець-Подільського р-ну від Буймистер 
Параски Василівни, 1888 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 174 (текст), арк. 256 (мел.), № 123."
Kmeln_ballads_458_Oi po hori Serbyn khodyt	04-БК-08	Ой по горі Сербин ходить	Oi po hori Serbyn khodyt	Non-ritual	Ballad	БК	1918	Постоловський А.	від матері та тітки	unison	women		ІМФЕ, ф. 6-4, од. зб. 119, арк. 97, № 64.		с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 97, № 64."
Kmeln_ballads_459_Nadletila zozulenka	05-БК	Налетіла зозуленька	Nadletila zozulenka	Non-ritual	Ballad	БК	1918	Постоловський А.	-	unison			ІМФЕ, ф. 6-4, од. зб. 119, арк. 88, № 58.		с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 88, № 58."
Kmeln_ballads_460_Oi vyshenko-chereshenko	05-БК-06	Ой вишенько-черешенько	Oi vyshenko-chereshenko	Non-ritual	Ballad	БК	1986	Дмитренко Микола	Сердечна Н. М., Сердечна Г. К., Сердечна С. К.	unison	women		Нотація Єфремової Л.О.		с. Яхнівці Волочиського р-ну Хмельницької обл.	с. Яхнівці Волочиського р-ну Хмельницької обл.	49.62775269999999	26.3203382	Yakhnivtsi, Khmelnytskyi Oblast, Ukraine, 31212	"Зап. 26 липня 1986 р. Дмитренко М.К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Сер-
дечної Н. М., Сердечної Г. К., Сердечної С. К. Нотація Єфремової Л.О."
Kmeln_ballads_462_Shyrokaia vulychenka	05-БК-10	Широка вуличенька	Shyrokaia vulychenka	Non-ritual	Ballad	БК	-	?	-	2 voices			-		-					
Kmeln_ballads_463_Kolo mlyna kreminyna	08-ЛК-04+05-БК-10	Коло млина крем’янина	Kolo mlyna kreminyna	Non-ritual	Ballad	ЛК, БК	1918	Постоловський А.	-	unison			ІМФЕ, ф. 6-4, од. зб. 119, арк. 48, № 27.		с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 48, № 27."
Kmeln_ballads_464_Oi shob ne moroz	05-БК	Ой щоб не мороз	Oi shob ne moroz	Non-ritual	Ballad	БК	2006	Сигидин Марина	Бучацька Ольга Іванівна, 1931 р. н.	unison	woman		Розшифр. Єфремова Л. О., № 12.		с. Липи Кам’янець-Подільського р-ну Хмельницької обл.	с. Липи Кам’янець-Подільського р-ну Хмельницької обл.	48.71792840000001	27.0419472	Lypy, Khmelnytskyi Oblast, Ukraine, 32384	"Зап. 17 грудня 2006 р. Сигидин М. А. у с. Липи Кам’янець-Подільського р-ну Хмельницької обл. 
від Бучацької Ольги Іванівни, 1931 р. н. Розшифр. Єфремова Л. О., № 12."
Kmeln_ballads_466_Pislav mene mii mylenkyi	05-БР-01	Послав мене мій миленький	Pislav mene mii mylenkyi	Non-ritual	Ballad	БР	1978	Дем’ян Григорій	Гарнець Надія Миколаївна, 1912 р. н.	unison	woman		"ІМФЕ, ф. 14-3, од. зб. 973, арк. 134-135 (текст), арк. 248 
(мел.), № 93. Нотація Мишанича М. В."		с. Лоївці Новоушицького р-ну Хмельницької обл.	с. Лоївці Новушицького р-ну Хмельницької обл.	49.422983	26.987133	Khmelnytskyi Oblast, Ukraine	"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гар-
нець Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 134-135 (текст), арк. 248 
(мел.), № 93. Нотація Мишанича М. В."
Kmeln_ballads_467_Na horodi barvinets	05-БР-02	На городі барвінок	Na horodi barvinets	Non-ritual	Ballad	БР	1986	Дмитренко Микола	Настина В. П. 	unison	woman		"Нотація 
Єфремова Л. О."		с. Яхнівці Волочиського р-ну	с. Яхнівці Волочиського р-ну	49.62775269999999	26.3203382	Yakhnivtsi, Khmelnytskyi Oblast, Ukraine, 31212	"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну від Настиної В. П. Нотація 
Єфремова Л. О. Вар. зап. 1974 р. Нагорний Л. С. у м. Віньківці від Полотнюк Наадії Григорівни."
Kmeln_ballads_469_Na Dzhurynskim mosti	05-БР-04	На Джуринськім мості	Na Dzhurynskim mosti	Non-ritual	Ballad	БР	-	?	-	unison			-		-					
Kmeln_ballads_470_Oi ore Semen, ore	05-БР-06	Ой оре Семен, оре	Oi ore Semen, ore	Non-ritual	Ballad	БР	-	Конощенко Андрій	Коротан Никифор 	unison	man		ІМФЕ, ф. 6-4, од. зб. 148, арк. 68 зв., № 104.		с. Калюс Новоушицького пов. Подільської губ. (нині Новоушицький р-н )	с. Калюс  Новоушицький р-н 	48.85954485153766	27.27299577963471	Kalyus River, Khmelnytskyi Oblast, Ukraine	"Зап. Конощенко А. у с. Калюс Новоушицького пов. Подільської губ. (нині Новоушицький р-н ) 
від Никифора Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 68 зв., № 104. Вар. зап. 1937 р. Гайдай
М. П. у с. Згарок Деражнянського р-ну. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 108."
Kmeln_ballads_470v_Oi ore Semen, ore	05-БР-06	Ой оре Семен, оре	Oi ore Semen, ore	Non-ritual	Ballad	БР	1937	Гайдай Михайло	-	unison			ІМФЕ, ф. 8-3, од. зб. 182, арк. 108.		с. Згарок Деражнянського р-ну.	с. Згарок Деражнянського р-ну	49.2377726	27.6157481	Zharok, Khmelnytskyi Oblast, Ukraine, 32222	"Зап. Конощенко А. у с. Калюс Новоушицького пов. Подільської губ. (нині Новоушицький р-н ) 
від Никифора Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 68 зв., № 104. Вар. зап. 1937 р. Гайдай
М. П. у с. Згарок Деражнянського р-ну. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 108."
Kmeln_ballads_471_Pokyn, Yasiu, matir	05-БР-06	Покинь, Ясю, матір	Pokyn, Yasiu, matir	Non-ritual	Ballad	БР	1971	Шумада Наталя, Іванов Володимир, Довженок Галина	"Сис Тамара Андріївна, 1913 р. н., музейний працівник, 
збирач фольклору."	unison	woman		"ІМФЕ, ф. 14-5, од. зб. 419, арк. 110-111, пл. ф. 14-10, од. зб. 1180 (9). Нотація
З. Василенко. Мел. (тільки 1 строфа) надр.: Балади, 2, с. 130."		"м. Кам’я-
нець-Подільський Хмельницької обл."	м Кам’янець-Подільський Хмельницької обл.	48.6967162	26.5825364	Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Ukraine	"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’я-
нець-Подільський Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, 
збирач фольклору. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 110-111, пл. ф. 14-10, од. зб. 1180 (9). Нотація
З. Василенко. Мел. (тільки 1 строфа) надр.: Балади, 2, с. 130."
Kmeln_ballads_472_A v nashii kraini	05-БР-06	А в нашій країні	A v nashii kraini	Non-ritual	Ballad	БР	1971	Шумада Наталя, Іванов Володимир, Довженок Галина	Стрілецькa Параска Михайлівна, 1902 р. н.	unison	woman		ІМФЕ, ф. 14-5, од. зб. 419, арк. 121-122, пл. ф. 14-10, од. зб. 1181 (4). Нотація Іванова В. Ф,		м.Кам’янець-Подільський Хмельницької обл.	м Кам’янець-Подільський Хмельницької обл.	48.6967162	26.5825364	Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Ukraine	"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 121-122, пл. ф. 14-10, од. зб. 1181 (4). Нотація Іванова В. Ф,"
Kmeln_ballads_474_Oi tam kolo brodu	05-БР-07	Ой там коло броду	Oi tam kolo brodu	Non-ritual	Ballad	БР	1918	Постоловський А.	від матері та тітки	unison	women		ІМФЕ, ф. 6-4, од. зб. 119, арк. 118, № 80.		с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 118, № 80."
Kmeln_ballads_475_Ya tsia nichka	05-БР-09	Я ця нічка	Ya tsia nichka	Non-ritual	Ballad	БР	1928	Харків Володимир	-	unison			ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 127-128 (104), мел. – арк. 129 (105), № 33.		с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.).	с. Ісаківці нині Кам’янець-По-дільського р-ну Хмельницької обл.	48.5434052	26.4490659	Isakivtsi, Khmelnytskyi Oblast, Ukraine, 32365	"Зап. 1927-1928 рр. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 127-128 (104), мел. – 
арк. 129 (105), № 33."
Kmeln_ballads_478_Oi na hori	05-БР-09	Ой на горі	Oi na hori	Non-ritual	Ballad	БР	1978	Дем’ян Григорій, Мишанич Михайло (мел.)	"Розова Марія Василівна, 1930 р. н., Куцяк Олександра  Миколаївна, 
1922 р. н., Сухарева Марія Іллівна, 1930 р. н. і Гуменюк Марія Улянівна,  1924 р. н."	2 voices	group of women		"ІМФЕ, 
ф. 14-3, од.зб. 973, арк. 3-4 (текст), арк. 222 (мел.), № 1. "		"с. Лоївці Новоушицького р-ну 
Хмельницької обл."	с. Лоївці Новушицького р-ну Хмельницької обл.	49.422983	26.987133	Khmelnytskyi Oblast, Ukraine	"Зап. 23 липня 1978 р. Дем’ян Г. В., Мишанич М. В. (мел.) у с. Лоївці Новоушицького р-ну 
Хмельницької обл. від Розової Марії Василівни, 1930 р. н., Куцяк Олександри  Миколаївни, 
1922 р. н., Сухаревої Марії Іллівни, 1930 р. н. і Гуменюк Марії Улянівни,  1924 р. н. – ІМФЕ, 
ф. 14-3, од.зб. 973, арк. 3-4 (текст), арк. 222 (мел.), № 1. "
Kmeln_ballads_479_Oi na hori	05-БР-09	Ой на горі	Oi na hori	Non-ritual	Ballad	БР	1978	Дем’ян Григорій	Мазур Ольга Федорівна, 1924 р. н.	unison	woman		"ІМФЕ, ф. 14-3, од. зб. 973, арк. 75-76 (текст), арк. 236 
(мел.), № 53. Нотація Мишанича М. В."		с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.	с. Студениця Кам’янець-Подільського р-ну Хмельницькоїобл.	48.74781810411996	26.90168393057352	Studenytsya River, Khmelnytskyi Oblast, Ukraine	"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 75-76 (текст), арк. 236 
(мел.), № 53. Нотація Мишанича М. В."
Kmeln_ballads_480_Pozhenu ya tovar na yar	05-БР-10	Пожену я товар на яр	Pozhenu ya tovar na yar	Non-ritual	Ballad	БР	1918	Постоловський А.	-	unison			ІМФЕ, ф. 6-4, од. зб. 119, арк. 121, № 81.		с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 121, № 81."
Kmeln_ballads_481_Oi zaimu ya voly v poly	05-БР-10	Ой займу я воли в полі	Oi zaimu ya voly v poly	Non-ritual	Ballad	БР	1927	Харків Володимир	-	unison			"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 136-138 (112-114), мел. 
– арк. 130 (106), № 36."		"с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.)."	с. Ісаківці нині Кам’янець-По-дільського р-ну Хмельницької обл.	48.5434052	26.4490659	Isakivtsi, Khmelnytskyi Oblast, Ukraine, 32365	"Зап. 1927 р. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 136-138 (112-114), мел. 
– арк. 130 (106), № 36."
